enum	permissible_values	suspect	single	source
seq_meth_enum	{text}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
sim_search_meth_enum	{software};{version};{parameters}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
sop_enum	{DOI}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
sop_enum	{PMID}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
sop_enum	{URL}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
subspecf_gen_lin_enum	{rank name}:{text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trna_ext_software_enum	{software};{version};{parameters}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
vir_ident_software_enum	{software};{version};{parameters}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
x_16s_recover_software_enum	{software};{version};{parameters}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
> slot_enum	annotations	True	True	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
>_enum	inner_key: value_syntax	True	True	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
fao_class_enum	Acrisols	False	False	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
fao_class_enum	Andosols	False	False	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
fao_class_enum	Arenosols	False	False	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
fao_class_enum	Cambisols	False	False	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
fao_class_enum	Chernozems	False	False	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
fao_class_enum	Ferralsols	False	False	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
fao_class_enum	Fluvisols	False	False	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
